,mod,wt
118418,1,5
99976,2,30
99975,0,12
105796,2,2
105795,0,10
105790,0,1
105791,2,68
105798,0,74
105799,1,2
106497,2,1
85465,0,1002
104773,0,12
104772,3,28
104771,2,76
104770,0,1
104776,0,1003
104775,2,10
104774,0,35
104779,1,2
104778,0,10
105421,1,2
105422,0,1
112399,1,5
105424,1,1
105425,0,1
105426,0,10
105427,0,7
112392,1,2
105429,2,9
112390,1,2
112391,2,1
112396,1,2
112397,2,1
112394,1,1
112395,0,1
99707,0,3
106689,1,1004
106685,1,1
106684,3,206
106687,2,1005
106686,2,7
106680,1,540
106683,1,540
2641101,1,5
85479,2,240
85320,2,223
99701,0,13
99025,0,52
99024,0,21
99027,0,50
99026,3,3
99021,3,41
99020,2,1
99023,2,9
99022,0,10
99029,2,1
99028,2,1
107480,1,5
107481,1,2
107482,2,68
107483,1,2
107484,1,5
107485,2,68
107486,1,2
107487,1,2
107488,1,2
107489,1,5
85716,15,182
99242,0,12
95599,0,9
109938,0,52
109939,1,5
109936,1,2
109937,0,52
109934,1,1
109935,1,2
109932,1,5
109933,2,30
109930,1,5
109931,1,30
90324,3,1006
107159,2,1
107150,0,12
107151,0,84
112024,1,2
112025,2,1
112026,0,1
112027,1,5
112020,2,0
112021,0,21
112022,2,1
112028,0,21
112029,0,12
109680,2,30
109681,1,5
109682,1,2
109683,1,2
109684,1,5
109685,31,1
109687,1,5
85633,2,13
108085,0,12
108084,1,2
108083,2,68
108089,1,5
108088,1,5
182991,1,2
182990,1,5
182992,1,2
799988,1,2
100689,1,12
100688,0,3
100683,0,3
100682,1,1
100681,2,432
100680,2,3
100687,2,9
100686,1,2
100685,1,83
108339,0,10
108338,81,1
108337,2,7
108336,1,1
108335,1,2
108334,1,5
108333,1,1
108332,1,5
108331,1,5
108330,2,30
103484,0,21
103486,1,5
103487,2,5
103480,2,7
103481,1,5
103482,2,91
103483,2,0
103488,0,21
103489,2,13
103292,0,1
87707,1,1007
145675,2,30
145674,2,2
87881,3,1
87882,0,1008
87883,2,1009
87884,0,12
87885,1,12
87886,0,52
87887,2,127
87888,2,562
87889,0,7
97819,1,5
95081,2,50
95080,2,1010
99799,0,36
97812,0,3
99798,0,12
97813,2,25
97810,3,7
86829,2,14
86828,2,13
97811,0,3
86821,2,80
86820,0,3
86823,3,1011
86825,3,1012
86827,2,822
96636,82,21
95089,0,105
95088,2,13
110328,0,36
2620892,2,35
99795,0,12
99794,0,21
85476,2,1013
89433,45,566
93367,2,13
97320,0,50
110765,1,5
97323,0,3
97324,1,2
97325,2,1014
87849,2,1015
97326,2,13
97327,0,3
96481,1,1
88468,1,5
97329,3,2
4023631,0,3
93395,2,13
87065,2,290
122261,2,30
122260,2,2
122263,0,1
122262,0,1
122265,1,2
122264,0,36
118501,1,5
118500,2,1
118503,1,5
118502,0,1
118505,1,2
118504,1,1
118507,1,2
118506,1,1
118509,1,2
93397,2,335
96143,3,232
93396,0,3
110763,1,5
92364,83,1016
96567,0,3
92361,2,51
92360,2,475
110732,1,1017
110730,1,1
110731,1,2
110736,1,1
110737,1,1
110734,1,52
110735,1,250
93369,0,315
110738,0,52
110739,0,1018
94504,0,105
107520,1,2
96392,2,427
107527,1,2
96396,0,3
96397,0,52
96394,0,12
107526,1,2
107525,1,2
96920,3,36
93392,0,3
110088,1,5
110089,1,2
110085,1,5
110086,1,68
110087,1,2
110080,1,2
110081,1,2
110082,1,1019
96022,0,3
149285,1,2
96562,2,203
97118,2,13
89315,2,434
96640,0,1
94734,0,12
96642,2,1020
96643,2,1021
96646,2,2
96647,2,13
96648,2,242
96649,0,1
97513,0,352
96446,0,1
97511,0,12
97510,2,818
97517,2,1022
97516,2,7
97515,2,189
97514,2,237
97519,0,1023
97518,0,3
118084,2,1
118085,1,5
102539,0,12
102538,0,3
118080,0,12
118081,0,1
118082,2,1
118083,2,11
102533,2,13
102532,2,1024
102531,0,3
102530,3,2
118088,1,2
118089,2,1
102534,0,1025
92047,2,13
94292,0,3
90805,3,2
94295,1,5
95609,2,50
95608,2,3
95601,0,3
95600,0,215
95603,0,3
95602,0,3
95605,1,3
94294,1,2
95607,0,700
95606,0,3
112622,1,2
112623,2,68
112620,1,2
112621,2,0
112626,1,5
112627,1,5
112624,0,52
112625,1,1
112628,2,1
112629,1,59
92044,0,12
94296,3,2
98852,2,76
92558,0,3
107019,1,1026
107018,1,2
107013,2,30
107011,2,1
107010,1,5
107017,2,68
107016,2,1
107015,1,2
107014,1,2
90806,3,2
98399,2,7
95318,0,22
98858,7,5
92942,3,2
91609,2,97
91608,3,288
106948,2,68
106949,2,1
106946,0,10
106944,2,1027
106945,1,5
106942,1,1
106943,2,44
92944,2,1028
91871,2,1029
94053,2,290
99182,0,1
92948,2,1030
99183,0,50
93603,2,141
93602,0,22
93601,1,2
93600,1,2
93607,0,2
93606,2,115
93605,2,51
99181,84,1031
94052,1,2
99186,0,21
90807,2,19
99187,2,1
104092,2,37
104093,2,13
104090,0,50
104091,3,204
104096,2,1
104097,1,5
104094,2,1
104095,2,1
104098,1,30
104099,0,21
90679,2,1032
2644672,0,21
2644673,2,1
800859,2,1
800858,1,2
96068,0,1
96069,2,3
104636,2,68
104637,1,1
104634,1,3
104635,2,68
104632,2,664
104633,3,28
104630,2,68
104631,2,2
94055,2,13
104638,2,1
104639,0,68
105323,1,5
105322,1,1
105321,0,52
105320,2,259
105327,0,21
105326,1,5
105324,1,2
91590,2,57
105329,2,1
105328,0,1033
84809,2,1034
93013,2,130
93010,2,350
91218,2,1035
106260,2,68
88694,2,8
108984,1,1
108985,1,5
108986,2,30
108987,1,1
108980,1,5
108982,2,30
108983,2,7
108988,1,5
108989,1,5
105087,1,1
91623,0,105
91622,7,5
94739,2,1036
106161,0,10
106162,1,5
106163,1,2
106164,1,2
106166,2,30
106167,1,30
106168,1,30
106169,2,664
94157,0,52
102670,0,21
102671,2,154
102672,17,2
102673,0,1
102674,2,1037
102675,2,1
102677,2,67
102678,0,12
102679,0,52
94154,2,425
94267,3,753
102098,1,1
94155,0,3
85915,2,13
85916,2,1038
85911,2,668
89062,1,2
89066,3,352
103079,2,76
104682,2,1
89829,0,1
102093,2,13
90802,2,14
94150,3,170
109769,2,1
109768,1,5
109767,1,2
109765,2,68
109764,1,2
109763,2,1
109762,2,1
109761,1,1
109760,1,5
92582,2,53
89976,2,13
89974,3,678
103695,0,12
103694,1,2
103697,1,1
103696,0,1
103691,1,1
103690,1,2
103693,0,21
103692,1,1
89972,0,434
103699,1,259
103698,0,3
88339,2,290
88333,0,131
88332,2,127
88330,2,1039
88337,3,2
88334,0,52
91072,2,1
100528,0,52
100529,2,44
100526,2,9
100527,2,76
100525,0,33
100522,0,35
100523,0,12
100520,2,304
100521,2,44
91076,2,13
101416,0,21
91077,0,1
91075,2,97
106192,1,2
91079,2,251
86329,2,1040
86326,2,1041
86327,3,972
86324,0,22
86322,2,128
86320,2,13
86321,2,1
89820,0,3
91291,2,1042
94617,0,1
89821,1,5
87119,0,22
99722,0,12
99723,2,9
90408,2,40
90400,2,9
90401,16,142
90402,2,204
90404,2,1
90406,2,1043
90407,0,520
101699,1,1044
101698,0,1
101697,0,10
101696,2,30
101695,2,2
101694,0,1
101690,0,203
104247,2,1
99729,0,3
101349,0,415
101348,2,13
101341,1,3
101340,1,3
101343,2,44
101342,2,1
101345,2,44
101344,2,292
101347,0,12
101346,2,7
2365229,0,12
91296,8,97
85145,2,1045
85141,0,3
91555,3,1
85149,3,1046
134729,1,83
134728,1,1
134727,0,11
134726,85,1047
134725,1,2
134724,1,2
134723,1,2
134722,2,1
97999,86,1048
97998,2,146
97997,2,30
97995,0,1
97993,0,5
97992,0,1
97991,3,1049
96153,2,260
97938,0,35
89738,2,1050
1639543,1,1
94875,1,7
94874,2,13
94877,3,1051
94876,1,1
94871,0,105
94873,0,12
94872,0,12
86382,2,372
2421008,2,14
1632029,2,20
99118,0,36
95310,0,3
111657,1,2
111658,1,5
111659,2,1
91294,2,1052
95839,0,105
95832,0,1053
95833,0,22
95831,0,105
95836,2,414
95834,2,9
89503,2,44
89502,51,305
89501,15,737
89500,0,105
89507,2,388
89506,0,3
89505,0,1
89504,2,113
89509,3,581
89508,2,1054
89602,0,158
99112,0,36
2656036,0,22
110299,1,3
110298,1,2
110295,0,36
110294,0,131
110297,0,12
110296,2,631
110291,2,1
110290,0,12
110293,2,1
110292,1,3
92824,2,13
92826,0,12
92827,2,29
92820,2,13
92821,3,64
92822,3,567
92823,2,242
92829,2,1
91696,2,7
96566,0,3
96561,2,1055
96563,1,1
91697,2,427
96569,0,3
91694,2,816
91295,1,2
91692,2,1056
91693,0,35
105121,1,5
105120,2,30
105123,2,1
105122,0,12
105125,2,9
105124,0,3
105127,0,7
105126,2,9
105129,1,2
105128,1,2
91691,1,1057
93889,1,319
93885,2,14
93884,2,57
93887,0,52
93881,3,1058
93880,1,2
93883,3,645
93882,3,62
97741,0,69
91698,0,22
90740,0,3
97746,0,22
91699,2,57
88109,2,159
105699,1,1
105698,2,68
105693,1,2
105692,1,2
105691,1,2
105690,1,2
105697,2,68
105696,1,5
105695,3,2
105694,0,1
97748,3,1059
97936,0,1
1992989,2,1
102022,2,1
102478,2,44
102479,2,44
102476,2,271
102477,0,116
102474,1,1
102475,1,1
102472,2,1
102473,17,1
102470,0,1
102471,0,10
108614,0,10
108615,1,1060
108610,1,5
108611,1,5
108612,1,1
108613,1,2
86646,0,131
95979,0,1061
95978,0,3
2677566,0,1
2677565,1,1
118297,0,22
118293,2,30
118299,1,5
118298,1,2
92526,2,1062
94468,1,2
86648,0,13
91102,2,2
91100,2,260
91101,0,233
91106,2,30
91107,2,13
91104,2,355
91105,2,7
91108,2,271
91109,0,315
99476,2,260
98819,0,10
99471,0,3
95019,2,102
106578,0,10
109569,1,5
109568,1,5
109565,1,1
109564,1,2
109567,1,5
109566,0,52
109561,1,5
109560,1,2
109563,1,2
109562,1,1
145913,2,1
145914,2,1
97870,0,1063
105903,1,5
105902,1,5
105901,1,5
105900,2,30
105907,1,2
105906,1,5
105905,2,68
105904,1,5
105909,1,2
105908,1,5
92459,0,1
92458,2,1
92455,2,13
92457,2,154
92456,87,768
89357,2,362
92450,3,1064
92453,3,678
92452,2,53
91818,1,5
96158,0,956
91814,3,1065
91815,0,62
91816,3,1066
91817,0,3
91810,2,1
91811,2,17
91812,8,976
91813,3,268
107229,2,1
145790,2,68
145791,2,1
145796,1,2
145797,1,1
145794,2,9
145795,1,1
107220,1,59
107221,0,82
107222,1,5
107223,2,30
107224,1,2
107225,1,83
107226,1,5
110974,2,1
98798,1,2
98794,17,2
98795,1,3
98796,2,76
98797,0,10
98790,2,139
98792,0,3
98793,0,9
1088051,2,44
110971,2,44
101107,2,159
101106,1,2
101105,2,557
101104,2,44
101103,2,276
101102,2,597
101101,0,1
101100,1,5
94261,0,105
101109,3,35
101108,2,183
117874,1,59
117875,1,2
117876,1,59
117870,1,5
117871,1,5
117872,1,2
117873,1,2
117878,1,2
117879,1,5
98248,2,534
2655499,2,0
98242,0,10
98240,2,189
98241,0,3
98246,2,7
98247,0,3
98244,0,3
108798,1,5
101815,88,1067
101814,2,13
101817,0,10
101816,1,1
101811,0,10
101810,2,76
101813,2,9
101812,0,21
101819,1,1
101818,2,7
93416,2,239
92604,2,337
86549,3,316
86546,0,9
86547,89,1068
86544,0,12
1431445,1,2
86541,2,9
98478,2,475
1642680,0,131
2621047,1,83
2621048,2,13
2621049,2,17
89749,2,3
89748,0,35
89744,2,13
89747,2,290
89746,0,3
89741,0,11
89743,0,12
89742,3,92
85891,2,1069
85890,3,1070
85893,0,156
85895,0,1071
89293,2,189
89294,3,1072
87790,1,52
87794,0,22
87795,0,3
87796,2,44
87798,2,1073
96408,2,13
95778,2,189
96403,0,12
94314,13,468
94315,2,1
94316,2,13
94317,1,2
94310,2,127
94311,7,5
88163,0,215
88160,1,2
88161,90,1074
88166,3,157
88167,0,12
100779,2,44
100778,0,52
100777,0,33
100775,2,1
100774,3,525
100773,2,1
100771,0,12
100770,2,67
98447,2,147
90804,2,53
90800,2,204
821305,2,1
821306,1,5
90801,2,144
92772,0,22
90239,2,1030
102619,0,12
90233,0,3
90232,2,265
90231,2,1075
90237,2,79
90236,2,1
90235,2,265
90234,3,285
96961,2,427
96960,2,7
96963,0,116
96965,0,12
96967,2,13
96966,0,3
96969,2,0
93140,91,1076
91575,2,1077
91574,2,76
91573,1,2
91572,2,127
91571,2,43
94463,0,50
91570,2,1078
931614,1,59
94464,0,50
94465,92,9
111199,0,52
111198,1,5
111191,0,36
111190,1,1
111193,1,2
111192,2,1
111195,1,5
111194,1,2
111197,1,1
111196,1,3
110822,2,44
110823,2,68
110820,2,68
110821,1,2
110826,0,12
110827,0,1
110824,1,2
110825,2,1
95313,2,549
110828,1,2
110829,1,5
95317,1,2
95314,1,1
111443,2,2
111442,0,36
111441,1,5
111440,1,2
89476,2,9
93066,2,7
93254,2,7
93255,0,158
93256,2,13
93257,2,837
93250,2,2
93251,2,8
93252,0,105
93253,0,13
93259,1,1
93065,2,1079
110310,2,44
110311,1,5
110312,1,5
110313,1,2
110314,1,83
110315,1,1
110316,2,44
110317,1,2
110318,2,1
110319,1,1
104441,2,1
104440,1,2
104443,2,9
104442,1,5
104445,0,1
104444,2,25
104447,2,1
104446,0,21
104449,0,12
104448,2,1
118125,1,5
118124,1,1
118123,1,2
118122,2,44
118121,0,1
118120,0,1
106359,1,2
106358,0,1
106353,1,3
106352,0,36
106351,0,1
106350,2,0
106357,1,1
106355,1,5
106354,2,68
102849,0,12
102848,0,21
102843,1,1
102842,2,1080
102841,0,22
102840,0,1
102847,0,12
102846,0,229
102845,2,350
102844,1,5
98004,1,3
98005,2,35
98006,0,52
98007,0,36
98000,0,3
98002,0,10
98003,0,3
98008,54,1081
98009,2,1082
93926,1,2
93060,2,1083
93922,13,7
93923,0,12
93920,3,2
93928,0,12
93929,0,7
105718,1,3
105719,1,1
105716,1,5
105717,1,1
105714,1,5
105715,2,68
105712,0,1
105713,0,1
105710,2,11
105711,0,1
96111,0,105
107408,1,2
107400,0,12
107401,2,30
107402,0,10
107405,2,1
107406,2,1
107407,2,1
112312,1,5
112313,1,1
112310,1,1
112311,1,2
112316,1,2
112317,1,1
112314,2,1
112315,1,5
112318,1,1
112319,1,5
87347,3,1084
95014,0,1085
102159,0,50
102151,2,90
102150,2,9
102153,2,30
102152,25,212
102155,0,62
102154,0,1
102157,2,29
102156,0,1
87341,0,15
87340,2,1086
98916,2,30
98915,1,5
98913,0,36
98910,0,10
98911,0,215
98918,1,2
94720,0,9
96496,0,131
108008,1,5
108004,1,83
108001,1,2
108000,2,14
108003,1,2
108002,1,2
96097,1,3
91704,1,3
103408,2,583
103409,2,1
103404,2,30
103405,2,206
103406,0,283
103400,1,2
103401,2,79
103402,2,1
103403,2,7
111838,2,1
111839,1,3
111832,1,1
111833,1,83
111830,1,3
111831,1,5
111836,2,1
111837,1,2
111834,1,83
111835,1,2
87808,2,1087
87800,42,1088
87802,0,1089
87804,3,519
87806,2,86
87807,3,972
91700,2,19
94729,0,655
109064,2,13
109065,1,1
109066,2,68
109067,0,36
109060,0,3
109061,0,10
109062,1,5
109063,1,2
109068,1,5
109069,1,83
94614,0,486
94728,0,1
100179,0,3
100178,2,13
100175,2,44
100174,2,1090
100177,3,296
100176,0,33
100171,2,1091
100170,0,12
100173,2,30
100172,0,872
99317,2,69
93794,2,7
1975541,0,1
94407,2,382
95335,2,7
92104,2,363
95331,0,3
92102,0,105
96727,0,3
95332,2,44
95191,0,15
96724,2,13
104126,3,89
104127,2,10
104124,2,30
104125,1,2
104122,2,259
104123,2,30
104120,0,21
104121,2,1
104128,75,1092
104129,1,2
94402,93,1093
2644560,1,1
94403,2,29
92346,3,1094
85518,0,556
85519,94,1095
88353,3,1096
89199,2,13
88352,2,1097
88357,2,558
88356,2,2
88358,2,128
97260,0,12
95304,3,7
1213453,2,57
94408,3,2
86731,2,223
111465,1,5
86733,2,1098
86732,2,1099
88828,2,13
88823,2,7
88821,2,1100
88826,2,1101
88825,2,13
88824,2,9
86915,3,1102
86914,2,13
86917,2,13
86916,2,699
96312,0,9
96313,2,13
96310,2,13
96311,0,116
89158,2,919
96314,0,3
96315,1,3
89154,2,1103
89155,2,1104
89150,72,826
89151,0,556
89152,2,639
89153,15,1105
103365,0,52
103364,0,1
103367,1,30
103366,2,13
103361,1,1
103360,0,12
103363,0,229
103362,1,1
625722,1,1
103369,2,1
103368,1,2
86054,2,626
118008,2,1
118009,1,59
86055,0,22
118004,0,35
118005,1,2
118006,0,1
118007,1,1
118000,0,1106
118001,2,1
118002,2,76
91629,2,90
97048,0,50
97044,2,13
97046,0,3
97041,2,203
97040,0,3
97042,9,99
99229,2,9
99227,0,1
99226,0,12
99225,2,3
99224,0,1107
99223,2,3
99222,0,3
99221,1,1
99220,2,3
95579,2,9
95578,0,3
95571,0,105
95570,3,296
95577,0,547
95576,0,3
95575,2,25
95574,2,25
86304,2,825
97599,2,25
97598,0,116
97593,2,1108
97592,3,628
97590,2,382
97597,2,1109
97596,0,12
97595,2,0
95681,2,1
90068,8,1110
90069,2,1111
95685,0,2
95684,0,105
95687,0,1
95686,0,22
90062,2,313
90063,0,60
90061,2,13
90066,2,1112
90067,2,1113
90065,2,362
121169,1,5
121168,1,5
121167,1,83
121166,1,2
121165,1,2
121164,1,2
121163,1,1
121162,1,5
121161,0,1
121160,1,5
90894,3,678
95343,95,50
96888,1,2
96889,2,1
96882,1,12
96883,0,3
96880,0,105
94529,2,97
96886,0,131
96887,3,7
96884,0,22
96885,1,5
93314,2,348
112848,1,2
112849,0,1
112846,0,1
112847,1,2
112844,1,1
112845,1,2
112842,0,21
112843,0,52
112840,2,1
112841,0,1
94769,3,1114
94765,2,382
88429,0,12
94767,2,90
94766,2,1115
94761,1,5
94760,2,104
94763,2,234
94762,3,1116
91620,0,35
94937,2,382
98143,2,189
93279,3,232
91627,2,13
93277,0,333
93275,0,3
89833,1,83
89832,2,9
89831,43,389
89830,3,1
89837,2,1117
89836,0,3
91625,2,90
93155,2,14
88870,3,186
97863,82,21
97861,0,3
97867,2,40
97866,2,0
97869,3,567
97868,2,206
98025,2,587
98023,3,614
87827,2,228
91441,2,7
111769,96,1
94520,3,1118
94653,0,30
94655,1,2
94657,2,488
94656,2,13
94526,3,1119
148480,2,0
104427,0,655
148483,1,2
118107,1,59
90761,2,37
118106,1,2
90760,1,2
118101,1,1
102232,2,13
118100,1,83
90765,2,562
104420,2,475
98110,1,3
96055,2,50
96054,2,9
96057,0,3
96056,1,5
90767,0,52
96053,3,236
96052,2,37
90766,2,252
96059,0,326
96058,3,1120
89018,2,1
96449,3,1
118108,2,1
106258,1,2
106259,1,2
106256,2,91
106254,2,1
106252,1,5
106253,3,1
106250,1,5
106251,1,5
89559,0,3
105509,1,1
105508,1,2
105507,0,167
105506,36,2
105505,0,21
105504,1,5
105503,2,664
105502,1,83
105501,2,76
105500,1,1
91992,2,13
96173,2,76
99144,0,12
99142,0,10
99140,0,22
99141,0,12
99148,2,7
1508927,0,3
108908,1,5
108909,2,1
108904,1,68
108905,1,5
108906,1,5
108907,1,5
108900,1,2
108901,1,5
108902,1,5
108903,1,1
94915,0,1121
107611,1,2
107610,1,2
107612,1,5
107615,2,30
107616,2,30
112103,1,5
112102,2,9
112101,2,1
112100,1,2
112107,1,1
112106,1,2
112105,0,1
112104,2,1
112108,0,1
108278,2,30
108279,2,1
108272,1,2
108273,1,68
108270,1,5
108271,1,5
108276,1,5
108277,1,5
108274,1,2
108275,1,5
93595,2,3
103619,0,10
103618,0,10
103615,0,1
103614,15,347
103617,3,1
103616,2,9
103611,0,22
103610,1,1
103613,2,68
103612,2,1
145626,1,5
145627,1,59
145624,1,2
91326,2,1122
145628,1,1
101617,0,1
101616,2,30
101615,2,30
101614,0,2
101613,0,3
101612,0,1
101611,0,12
101619,0,10
101618,1,2
87665,2,13
91382,2,983
110972,0,52
93332,0,3
91387,3,1123
2539984,7,1124
2220732,1,1
182567,2,2
182568,2,1
85499,2,9
85498,0,116
1515499,1,2
1515492,1,59
99466,0,7
85723,2,9
85721,2,1125
85720,2,649
85727,3,1126
85726,2,1
98383,2,1
92149,3,678
98382,0,105
91615,0,21
87385,2,1
97120,1,1
97121,0,3
98615,2,1127
97127,0,3
87650,2,1128
87653,3,1129
87652,2,234
87654,3,1130
99047,0,1131
89589,2,6
99046,1,1
89582,3,62
89581,2,7
86211,0,52
89587,2,542
89586,2,304
89585,3,159
89584,0,36
99044,2,622
99043,0,22
99042,1,3
99040,0,12
134743,1,5
88989,2,1132
88980,2,1133
88981,2,1134
88983,2,42
110169,1,5
110168,1,1
110163,0,1135
110162,1,5
110161,1,3
110160,1,1
110167,29,255
110166,2,30
110165,31,1
110164,2,68
107428,2,13
88678,2,13
88679,3,355
88672,2,1136
88673,0,1
88676,0,48
95928,95,13
96297,2,25
96296,1,1
96295,2,30
96294,0,35
96293,2,9
96291,2,13
96290,2,1
92146,0,420
96299,0,12
96298,2,3
89998,2,51
78783,2,68
97658,0,3
97659,51,1
97654,2,1
97655,3,1120
97656,1,1
97657,2,13
97651,1,5
97652,2,184
97653,0,12
91969,0,3
90929,8,1137
90928,7,1138
90923,2,100
90922,0,1
90921,2,338
90920,2,1
90927,2,502
90924,2,3
1972008,0,3
99380,0,3
88059,2,382
99384,2,9
99385,0,22
99386,0,913
99388,0,135
99389,0,1
112373,1,3
118219,2,1
118218,2,13
118215,1,5
112374,2,2
118217,1,5
118216,3,567
118211,1,1
118210,1,1
118213,0,131
112375,2,1
97690,0,7
112376,2,1
97691,2,30
112377,1,2
88050,0,1139
88051,0,1140
97696,2,139
97697,40,3
95728,2,1141
86392,2,30
95722,2,29
95720,2,25
95721,2,516
95726,2,204
86391,3,1142
95724,2,9
86390,3,207
145842,2,2
145843,1,2
2499371,0,22
100028,0,52
86399,2,1
86398,1,5
97129,2,1143
112479,2,44
112478,1,5
112473,0,1
112472,1,5
112471,1,2
112470,1,5
112477,1,2
112476,2,30
112475,1,83
112474,0,1
105989,2,664
98178,0,35
101990,2,44
101991,1,1
101992,0,21
101993,0,21
101994,0,21
101995,2,274
101996,2,1
101997,1,2
95324,2,25
106865,1,83
106864,1,2
106867,1,12
106863,0,12
106862,1,2
93764,0,131
93765,1,2
93766,1,2
93767,1,5
93760,2,14
93761,2,348
93762,2,53
93763,3,1144
93768,2,1145
93769,3,3
91894,1,2
91896,2,9
91897,2,265
91890,2,1146
91891,3,1123
91892,2,13
91893,1,2
91898,2,91
111353,1,2
111357,0,52
111356,1,2
111355,1,2
111354,0,36
111359,1,59
111358,2,1
93493,2,240
93490,0,62
93491,0,3
93496,2,228
93497,2,1147
93494,0,2
93495,2,9
93498,2,9
93499,0,12
89454,15,329
95321,2,25
1100681,2,1148
98714,0,12
98715,0,10
98716,3,1149
98717,3,567
98710,0,357
98711,2,13
98712,1,76
98713,3,1
98719,0,69
107800,1,83
107801,1,5
107802,2,1
107803,1,5
100858,3,934
100859,3,506
107808,2,30
107809,1,1
104575,1,2
104574,0,12
104577,0,36
104576,1,83
104571,2,1
104570,1,5
104573,0,35
104572,3,543
104579,1,2
104578,1,5
90475,15,329
90474,2,382
95205,2,19
90477,31,2
91823,2,9
90471,3,1150
95204,1,5
90472,0,22
101899,1,83
101898,0,3
101895,2,1
101894,0,12
101897,1,2
101896,1,5
101891,1,5
101890,1,5
101893,0,10
101892,1,59
95207,0,52
95206,2,9
96269,0,52
95201,0,3
2620959,13,468
95565,2,200
90803,2,79
106049,2,44
106048,3,2
106047,1,2
106046,0,1
106045,2,68
106044,1,5
106043,2,30
106041,0,12
106040,2,68
95203,4,1151
89956,2,162
112401,2,68
112730,1,2
112731,1,5
112732,1,2
112733,1,5
112734,1,2
112735,1,2
112736,1,5
112737,1,1
112738,1,2
112739,0,12
103138,2,8
103139,0,12
103134,1,2
103135,2,668
103136,2,1
103137,0,12
103130,0,52
103131,2,427
103132,0,3
103133,1,1
87718,0,1
87719,2,9
87714,0,52
87715,2,13
87716,2,8
100776,2,1
2620710,1,5
91050,0,35
103790,0,21
103791,1,2
103792,1,2
103793,0,12
103794,0,1
103795,0,1
103796,1,2
103797,1,5
103798,1,5
103799,0,36
88478,0,22
100449,0,3
100448,0,1
100445,0,22
100444,3,2
100447,0,2
100446,2,1
100441,2,13
100440,0,1
100443,3,9
100442,0,1
103868,0,346
103862,2,68
103863,0,10
103860,2,1
103861,0,346
103866,51,1
103867,1,5
103864,2,1
103865,1,1
86049,2,290
86043,3,380
86041,2,30
86040,2,13
86046,2,1152
86045,0,1
99238,2,274
91315,0,52
89958,0,105
91313,2,13
91312,2,1153
91310,0,116
89959,2,141
101798,2,14
101799,0,1
101792,1,3
101793,0,12
101790,2,0
101791,2,13
101796,2,7
101797,0,10
101794,2,1
101795,0,1
98518,1,5
91319,2,42
101424,0,1
101425,0,1
101426,2,30
101427,0,12
101420,1,1
101421,2,19
101422,0,1
111851,1,83
101428,1,1
101429,3,345
99525,2,1
130157,2,68
98854,2,1
99228,0,21
91251,2,102
104154,2,88
94035,1,2
94246,0,1154
99234,0,52
99235,0,52
112070,1,30
96857,0,116
118136,1,2
111111,1,1
111110,1,2
111113,1,5
111112,1,2
111115,2,30
111114,1,5
111117,2,13
111116,2,13
111119,1,2
111118,2,1
110644,1,5
110645,1,2
110643,0,36
110640,1,5
110641,1,2
118439,2,44
118438,1,2
118435,2,1
118434,1,5
118437,1,5
118436,2,1
118431,0,36
118430,2,1
118433,2,68
118432,1,1
94247,1,1155
91719,2,44
99359,3,35
99358,0,3
118247,2,14
96486,0,3
96487,0,1
96484,2,76
96485,0,50
802408,2,1
96483,1,1
96480,1,2
802400,0,1
96488,2,25
96489,0,1
92128,2,1156
118249,1,83
89608,2,7
99356,2,206
89609,2,9
96738,1,90
96739,2,204
96734,0,3
96735,1,3
96736,0,3
96737,2,50
96730,2,13
96732,2,90
96733,0,326
96707,2,95
97289,0,22
97288,0,21
97283,0,1
97282,2,516
97281,0,12
85588,2,1
97287,0,3
97286,1,3
97285,1,2
92384,0,50
94398,2,8
94399,1,2
94394,0,9
94395,2,51
94396,1,5
94397,2,76
94390,2,13
94391,2,1157
94392,3,1158
94393,2,7
97604,2,1159
90888,3,2
90889,8,976
90885,0,3
90886,0,3
90887,2,228
90880,0,36
90881,2,1160
90882,0,22
90883,0,3
98998,0,283
98999,1,3
98996,0,3
98997,3,1161
98994,0,3
98995,2,259
98992,0,12
98993,0,1
98990,0,22
98991,0,1
102226,0,3
102225,2,204
102224,1,3
102223,2,150
102222,0,22
102221,2,1162
102220,3,543
102229,0,12
102228,2,635
118392,2,68
118395,1,5
118396,1,1
118399,1,2
90770,2,127
622304,1,83
90776,2,1009
90777,0,1163
90774,0,22
90775,3,1164
104971,1,5
104970,1,3
104973,31,1
104972,0,13
104975,0,1
104974,1,5
104977,1,1
112536,1,1
112537,0,36
112534,1,1
112535,28,250
112532,1,2
112533,1,1165
112530,1,2
112531,2,13
90373,2,1166
92667,3,1167
137003,1,2
137002,1,2
137001,1,1
137000,1,1
137006,2,1
137005,1,5
137004,1,2
92660,0,576
92382,0,142
95115,39,716
95114,1,5
95117,2,8
95116,1,2
95111,2,9
95110,2,128
95113,2,2
95112,2,7
99643,2,13
99642,2,189
95119,0,15
95118,1,30
99647,0,724
99646,2,6
92669,2,144
109352,1,83
109350,31,1168
109351,31,1169
89604,2,92
99929,0,1
96540,3,2
111256,1,5
111257,1,83
111254,1,5
111255,1,5
111252,1,5
111253,1,2
111250,1,2
111251,0,68
91911,0,3
91910,2,228
91913,2,1170
91912,2,1
111258,1,5
111259,1,83
107307,1,2
107306,2,9
107305,0,1
107304,2,68
107303,2,1
